자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
우포늪 자전거 대여소,유인대여소,경상남도 창녕군 유어면 우포늪길 218,경상남도 창녕군 유어면 세진리 256,35.54466399,128.4181995,9:00,18:00,우천시,유료,1인용 자전거 5000원+2인용 자전거 7000원+특수용(팻바이크) 6000원+1인용(유아의자부착) 6000원+3인용 자전거 9000원+이용시간 1시간 추가요금 2000원,200,200,Y,기계식,N,055-530-1554,경상남도 창녕군,2026-05-12,5410000,경상남도 창녕군
영주시 용혈폭포 공공자전거무인대여소,무인대여소,,경상북도 영주시 평은면 용혈리 1344-1,36.71858808,128.6537846,7:00,22:00,연중무휴,유료,1000원,10,10,N,,N,054-639-3913,경상북도 영주시청,2026-06-15,5090000,경상북도 영주시
영주시 원당천 공공자전거무인대여소,무인대여소,,경상북도 영주시 휴천동 1213-18,36.81800665,128.6371617,7:00,22:00,연중무휴,유료,1000원,10,10,N,,N,054-639-3913,경상북도 영주시청,2026-06-15,5090000,경상북도 영주시
영주시 서천둔치 공공자전거무인대여소,무인대여소,,경상북도 영주시 가흥동 1408,36.82175514,128.6135251,7:00,22:00,연중무휴,유료,1000원,14,14,Y,기계식,N,054-639-3913,경상북도 영주시청,2026-06-15,5090000,경상북도 영주시
영주시 한정교 공공자전거무인대여소,무인대여소,,경상북도 영주시 문정동 706,36.7985055,128.6170108,7:00,22:00,연중무휴,유료,1000원,10,10,Y,기계식,N,054-639-3913,경상북도 영주시청,2026-06-15,5090000,경상북도 영주시
영주시 선비촌 공공자전거무인대여소,무인대여소,,경상북도 영주시 순흥면 청구리 362,36.92847353,128.5834337,7:00,22:00,연중무휴,유료,1000원,15,15,Y,기계식,N,054-639-3913,경상북도 영주시청,2026-06-15,5090000,경상북도 영주시
영주시 무섬마을 공공자전거무인대여소,무인대여소,,경상북도 영주시 문수면 수도리 290-1,36.73193111,128.6206986,7:00,22:00,연중무휴,유료,1000원,20,20,Y,기계식,N,054-639-3913,경상북도 영주시청,2026-06-15,5090000,경상북도 영주시
영주시 자전거공원 공공자전거대여소,무인·유인대여소,경상북도 영주시 영주로 146 (영주동),경상북도 영주시 영주동 511-1,36.8242898,128.6160493,10:00,18:00,연중무휴,무료,0원,142,50,Y,기계식,N,054-639-3913,경상북도 영주시청,2026-06-15,5090000,경상북도 영주시
동락공원 자전거대여소(동절기),유인대여소,"경상북도 구미시 3공단1로 191, 11동","경상북도 구미시 진평동 766, 11동",36.099459,128.401756,10:00,16:30,연중무휴,무료,,214,,Y,태양광식,Y,054-480-6253,경상북도 구미시청,2026-06-23,5080000,경상북도 구미시
동락공원 자전거대여소(하절기),유인대여소,"경상북도 구미시 3공단1로 191, 11동","경상북도 구미시 진평동 766, 11동",36.099459,128.401756,10:00,17:30,연중무휴,무료,,214,,Y,태양광식,Y,054-480-6253,경상북도 구미시청,2026-06-23,5080000,경상북도 구미시
남원역,유인대여소,전북특별자치도 남원시 교룡로 71,전북특별자치도 남원시 신정동 521-1,35.41123153,127.3613901,9:00,17:00,연중무휴(3월~11월),유료,일반1만원+전기2만원,55,55,Y,기계식,N,063-620-6165,전북특별자치도 남원시청 관광과,2026-06-15,4701000,전북특별자치도 남원시
목행용탄동사무소,유인대여소,충청북도 충주시 행정5길 21,충청북도 충주시 목행동 671-1,37.011583,127.9170125,9:00,18:00,주말+공휴일,무료,,0,0,N,,N,043-850-2745,충청북도 충주시청목행용탄동사무소,2026-05-31,4390000,충청북도 충주시
연수동사무소,유인대여소,충청북도 충주시 예성로 344,충청북도 충주시 연수동 529-1,36.98668678,127.9341577,9:00,18:00,주말+공휴일,무료,,4,1,N,,N,043-850-2732,충청북도 충주시청연수동사무소,2026-05-31,4390000,충청북도 충주시
